ShoulderWidth,Waist,Hips,TotalHeight,BodyShape
44.87,62.32,91.88,170.02,Hourglass
44.23,78.54,86.71,174.4,Rectangle
40.91,69.44,86.93,167.63,Inverted Triangle
41.09,76.86,83.33,164.59,Rectangle
36.04,81.99,98.26,162.23,Pear
40.7,67.78,92.34,163.43,Hourglass
46.2,79.36,85.19,169.13,Inverted Triangle
37.91,70.11,93.05,159.37,Pear
43.03,64.53,93.65,168.83,Hourglass
46.08,75.75,83.6,174.33,Inverted Triangle
45.15,66.4,93.49,162.09,Hourglass
47.09,73.53,84.35,173.25,Inverted Triangle
40.12,68.42,94.1,169.65,Pear
38.62,68.47,96.1,165.4,Pear
48.95,74.99,87.82,163.19,Inverted Triangle
43.47,78.01,90.2,172.37,Inverted Triangle
41.28,76.98,86.89,166.25,Inverted Triangle
46.37,79.58,85.04,168.83,Rectangle
45.0,70.27,85.92,174.3,Inverted Triangle
43.46,62.12,90.94,166.13,Hourglass
38.01,66.2,90.63,158.89,Pear
43.69,68.96,88.36,160.18,Hourglass
37.82,64.93,98.55,165.85,Hourglass
38.75,69.45,85.06,173.82,Pear
42.99,78.14,78.18,170.21,Rectangle
45.16,76.03,94.58,163.04,Inverted Triangle
38.13,82.8,82.99,166.65,Rectangle
45.29,75.29,88.09,168.13,Inverted Triangle
39.45,65.94,98.06,164.74,Pear
37.93,67.11,97.24,169.38,Pear
41.84,68.37,89.47,166.24,Hourglass
41.51,84.86,80.77,170.34,Rectangle
42.21,64.59,89.36,172.06,Hourglass
42.2,65.71,97.2,168.54,Hourglass
35.88,65.32,92.5,165.43,Pear
41.72,65.99,91.96,161.59,Hourglass
49.69,68.14,86.12,169.9,Inverted Triangle
37.45,64.8,92.88,161.41,Pear
38.17,63.95,100.54,164.87,Pear
40.56,67.52,90.66,167.15,Hourglass
38.39,72.44,92.08,170.62,Pear
45.2,76.26,93.68,164.65,Inverted Triangle
40.77,80.17,79.3,173.69,Rectangle
46.33,78.69,88.55,167.82,Inverted Triangle
43.0,77.0,89.68,164.18,Inverted Triangle
37.47,72.21,96.88,162.36,Pear
40.71,70.2,97.84,162.55,Pear
40.59,81.71,79.25,166.4,Rectangle
42.63,68.26,95.89,160.7,Hourglass
41.67,61.16,95.31,173.89,Hourglass
39.04,78.49,79.8,172.38,Rectangle
45.66,82.5,83.17,162.92,Rectangle
39.4,71.68,88.18,163.26,Hourglass
38.74,71.46,95.84,169.56,Pear
46.06,74.34,90.93,172.91,Inverted Triangle
43.77,75.3,88.86,167.95,Inverted Triangle
39.68,75.46,84.61,168.11,Rectangle
35.5,75.8,98.55,161.12,Pear
46.2,75.96,84.31,173.75,Inverted Triangle
43.25,74.38,85.02,166.56,Inverted Triangle
44.29,75.96,90.44,164.98,Inverted Triangle
39.81,78.74,84.85,167.69,Inverted Triangle
43.36,64.15,90.61,166.97,Hourglass
44.0,79.39,85.69,173.01,Inverted Triangle
38.6,71.71,97.27,159.76,Pear
44.72,79.32,86.01,172.69,Rectangle
39.44,75.65,78.58,171.43,Rectangle
40.68,77.59,88.15,170.04,Inverted Triangle
45.28,67.45,92.74,153.96,Hourglass
43.13,64.79,87.96,158.02,Hourglass
44.82,72.62,86.14,164.76,Inverted Triangle
41.37,64.86,90.74,162.96,Hourglass
46.61,63.93,93.33,162.51,Hourglass
36.93,68.63,95.97,167.35,Pear
37.72,72.17,95.52,169.49,Pear
41.56,71.98,90.84,162.48,Hourglass
39.35,75.58,77.89,170.61,Rectangle
39.08,71.9,100.46,159.88,Pear
46.65,74.05,88.55,163.34,Inverted Triangle
44.54,64.08,92.97,165.73,Hourglass
40.82,78.1,79.61,158.73,Rectangle
41.33,78.99,81.24,166.77,Rectangle
36.92,71.47,93.69,172.15,Pear
40.07,73.2,91.81,166.03,Inverted Triangle
37.49,65.15,93.57,161.54,Pear
45.81,76.85,91.24,158.21,Inverted Triangle
38.39,71.5,94.05,171.31,Pear
41.13,75.86,78.09,170.46,Rectangle
39.43,68.06,91.86,163.94,Pear
44.15,77.38,92.25,174.47,Inverted Triangle
45.03,77.68,88.08,169.78,Inverted Triangle
34.94,71.43,94.0,164.32,Pear
42.95,63.02,97.22,158.78,Hourglass
36.45,68.46,96.98,160.1,Pear
40.42,62.19,95.08,166.69,Hourglass
39.8,66.76,93.76,171.33,Pear
43.48,74.6,84.56,163.79,Rectangle
39.6,80.17,76.97,169.79,Rectangle
37.55,68.32,98.29,169.67,Pear
46.82,66.44,89.86,163.04,Hourglass
40.87,79.82,79.04,166.68,Rectangle
44.43,74.05,86.63,163.87,Inverted Triangle
42.18,63.32,87.27,161.97,Hourglass
36.63,67.18,97.42,172.45,Pear
48.79,64.38,87.51,167.06,Hourglass
40.59,68.45,93.66,165.6,Hourglass
35.32,71.86,95.09,165.12,Pear
45.51,63.24,97.56,168.69,Hourglass
42.41,80.58,85.04,168.16,Inverted Triangle
46.82,72.95,84.8,173.92,Inverted Triangle
43.25,64.67,90.98,161.38,Hourglass
41.58,62.01,95.23,163.0,Hourglass
43.37,68.62,98.3,161.13,Hourglass
45.45,69.68,93.29,171.7,Hourglass
43.68,82.47,81.98,168.22,Rectangle
47.33,73.25,92.45,169.33,Inverted Triangle
46.07,80.6,84.02,166.15,Rectangle
44.73,77.77,83.5,163.22,Rectangle
42.65,76.48,84.99,161.45,Rectangle
40.94,71.58,94.45,161.2,Pear
40.94,78.63,79.57,159.06,Rectangle
40.27,85.21,81.0,163.81,Rectangle
41.98,67.0,90.59,166.54,Hourglass
46.02,76.6,91.86,157.51,Inverted Triangle
38.29,72.26,97.11,164.06,Pear
43.3,69.86,95.81,168.57,Inverted Triangle
45.86,73.62,88.02,164.19,Inverted Triangle
43.59,75.44,93.57,171.56,Inverted Triangle
43.87,73.18,87.52,165.78,Inverted Triangle
42.72,81.19,84.08,161.5,Rectangle
42.3,80.34,82.48,163.42,Rectangle
42.19,73.72,90.64,162.55,Hourglass
40.83,77.45,79.51,165.6,Rectangle
44.45,77.79,87.49,167.3,Inverted Triangle
46.03,75.22,88.55,167.42,Inverted Triangle
36.48,80.54,75.63,165.66,Rectangle
47.33,75.39,89.64,169.8,Inverted Triangle
40.95,78.56,88.14,171.44,Inverted Triangle
39.34,70.37,92.91,165.08,Pear
42.74,79.73,84.51,164.18,Rectangle
47.04,67.12,89.96,166.72,Hourglass
35.14,70.24,95.02,169.98,Pear
42.29,77.29,77.07,171.24,Rectangle
39.15,64.87,91.59,158.0,Hourglass
43.89,82.0,79.52,163.88,Rectangle
42.27,73.76,88.97,169.12,Rectangle
42.1,78.14,75.39,170.09,Rectangle
48.34,70.57,86.94,169.24,Inverted Triangle
42.97,67.6,89.4,161.28,Hourglass
36.01,69.9,98.62,159.67,Pear
42.15,80.85,75.17,164.33,Rectangle
43.58,63.48,95.85,169.53,Hourglass
40.65,66.14,91.99,169.72,Hourglass
43.22,64.33,92.59,164.54,Hourglass
42.13,77.34,81.89,166.56,Rectangle
43.12,87.22,84.66,171.51,Rectangle
45.5,87.22,82.73,169.79,Rectangle
40.78,65.55,95.4,159.34,Hourglass
45.01,62.93,95.82,158.35,Hourglass
35.83,66.35,89.8,165.73,Pear
44.04,79.33,86.05,172.96,Rectangle
42.31,75.98,85.72,167.47,Inverted Triangle
46.83,74.37,86.67,158.74,Inverted Triangle
42.27,80.68,75.58,163.26,Rectangle
45.03,79.59,85.56,167.37,Inverted Triangle
43.16,81.27,85.94,173.46,Rectangle
44.0,77.12,86.69,165.23,Inverted Triangle
46.18,77.16,84.0,173.33,Inverted Triangle
36.09,69.41,96.8,159.12,Pear
41.42,76.44,83.28,163.64,Rectangle
46.21,69.21,99.47,163.32,Hourglass
36.92,74.54,92.0,164.09,Pear
38.95,76.04,84.58,168.05,Rectangle
44.04,76.84,86.85,163.3,Inverted Triangle
39.4,68.97,94.75,172.02,Pear
41.88,70.05,96.65,165.04,Hourglass
41.14,83.25,83.69,162.37,Rectangle
46.14,75.65,90.78,165.19,Inverted Triangle
43.42,77.44,79.09,172.22,Rectangle
41.12,76.18,83.19,167.33,Rectangle
42.15,79.72,77.08,168.34,Rectangle
45.41,67.34,93.27,156.24,Hourglass
46.39,79.55,83.68,169.5,Rectangle
39.35,71.47,90.48,162.86,Pear
42.33,77.55,85.69,161.83,Rectangle
42.17,68.17,91.31,166.93,Hourglass
45.81,75.47,85.32,173.63,Inverted Triangle
43.37,80.58,89.64,165.35,Inverted Triangle
42.76,80.53,83.51,164.36,Rectangle
43.8,81.1,86.9,164.03,Rectangle
37.95,69.16,96.28,170.32,Pear
46.43,80.16,87.55,169.47,Inverted Triangle
41.19,85.02,82.38,170.07,Rectangle
48.42,75.73,91.62,161.43,Inverted Triangle
43.19,81.37,78.06,165.1,Rectangle
45.42,77.61,86.03,174.13,Inverted Triangle
41.02,84.56,81.68,163.46,Rectangle
42.88,75.49,82.61,169.18,Rectangle
34.86,67.63,94.83,164.14,Pear
42.48,75.69,83.04,169.92,Rectangle
44.0,64.24,92.38,161.69,Hourglass
41.57,66.72,94.12,164.54,Hourglass
45.48,72.67,90.14,160.64,Inverted Triangle
45.17,76.77,88.12,170.53,Inverted Triangle
42.01,74.81,97.13,159.98,Pear
44.68,79.33,80.7,166.87,Rectangle
45.13,76.76,84.58,171.36,Inverted Triangle
39.02,67.24,98.29,162.5,Pear
40.35,68.02,93.22,164.93,Hourglass
35.16,72.82,92.59,169.27,Pear
45.42,76.53,87.1,165.5,Inverted Triangle
46.17,68.93,100.36,165.17,Hourglass
44.98,72.89,85.16,165.31,Inverted Triangle
36.06,70.62,93.29,171.72,Pear
36.4,80.19,76.61,166.1,Rectangle
45.3,71.63,91.28,161.31,Inverted Triangle
45.08,70.87,84.07,168.74,Inverted Triangle
42.46,71.96,91.4,162.9,Hourglass
43.62,79.0,90.71,172.56,Inverted Triangle
42.66,69.56,97.23,166.48,Hourglass
42.6,66.5,96.74,168.44,Hourglass
41.26,79.03,79.61,166.19,Rectangle
42.59,66.51,95.03,168.47,Hourglass
43.75,73.71,89.47,168.29,Inverted Triangle
43.34,66.6,94.08,164.89,Hourglass
39.7,68.78,88.86,171.06,Hourglass
43.63,78.13,78.65,170.86,Rectangle
43.49,72.66,89.32,170.1,Inverted Triangle
43.49,75.12,89.61,164.69,Inverted Triangle
41.48,70.77,97.01,166.32,Hourglass
35.47,66.64,98.21,162.75,Pear
39.64,79.17,75.02,168.52,Rectangle
38.97,69.92,92.51,164.09,Pear
37.11,70.01,92.96,161.3,Pear
38.21,70.62,94.63,171.96,Pear
45.43,64.79,92.95,165.39,Hourglass
40.26,72.18,99.69,163.62,Pear
41.4,71.89,94.66,160.2,Pear
43.98,75.68,90.41,164.07,Inverted Triangle
41.57,67.91,97.51,168.14,Hourglass
44.39,72.82,88.29,175.37,Inverted Triangle
39.92,69.71,93.92,169.48,Pear
43.48,68.66,88.66,159.64,Hourglass
38.78,80.79,80.87,164.85,Rectangle
35.66,72.03,95.1,166.02,Pear
45.32,68.72,85.95,167.44,Inverted Triangle
41.7,71.03,87.06,173.09,Inverted Triangle
44.07,73.78,89.6,167.44,Inverted Triangle
37.99,71.93,95.79,159.63,Pear
43.24,64.76,90.39,166.13,Hourglass
41.85,77.62,79.62,163.18,Rectangle
36.84,67.75,98.27,171.81,Pear
42.22,70.73,86.58,173.37,Inverted Triangle
44.07,78.65,80.29,166.56,Rectangle
40.33,68.27,88.28,170.39,Hourglass
46.74,80.24,83.8,166.49,Rectangle
38.45,71.63,92.72,171.19,Pear
41.65,76.99,81.44,169.25,Rectangle
37.94,82.06,85.31,165.13,Rectangle
47.86,79.92,87.73,169.34,Inverted Triangle
42.09,75.9,97.82,160.88,Pear
43.7,65.16,87.47,155.6,Hourglass
41.98,68.91,91.5,162.93,Hourglass
41.58,78.01,79.23,164.83,Rectangle
39.72,65.36,93.39,170.27,Pear
40.72,78.21,81.6,168.18,Rectangle
47.5,76.04,91.63,164.67,Inverted Triangle
41.23,69.6,101.22,162.69,Pear
45.43,65.92,93.38,163.17,Hourglass
37.97,72.35,93.68,159.8,Pear
43.87,70.37,96.04,177.3,Inverted Triangle
43.94,82.36,82.86,165.83,Rectangle
40.9,82.6,80.6,160.12,Rectangle
47.63,69.76,86.84,166.76,Inverted Triangle
49.68,67.81,86.59,168.89,Inverted Triangle
46.31,74.2,90.6,171.33,Inverted Triangle
43.33,79.0,91.67,171.37,Inverted Triangle
43.75,70.0,96.69,175.98,Inverted Triangle
41.64,63.81,92.12,165.83,Hourglass
46.89,79.31,81.82,176.8,Rectangle
37.75,69.93,93.04,161.93,Pear
41.14,70.21,102.76,162.91,Pear
37.81,70.99,97.21,157.92,Pear
39.73,68.67,94.63,166.87,Pear
43.0,71.31,87.69,169.69,Inverted Triangle
44.09,62.41,95.04,165.07,Hourglass
36.52,68.1,93.72,176.51,Pear
38.37,68.09,95.66,167.1,Pear
35.49,66.82,92.18,160.44,Pear
42.32,85.16,85.75,172.49,Rectangle
37.94,66.95,96.81,165.71,Pear
46.65,73.82,89.91,164.78,Inverted Triangle
39.94,68.31,92.83,163.64,Hourglass
44.97,69.66,86.65,167.92,Inverted Triangle
43.26,79.59,86.1,174.67,Rectangle
45.88,75.73,91.53,167.69,Inverted Triangle
44.67,75.26,87.0,167.63,Rectangle
46.92,75.9,88.82,167.74,Inverted Triangle
43.25,72.4,91.03,167.23,Inverted Triangle
43.29,79.26,89.94,171.91,Inverted Triangle
41.43,75.97,82.96,161.32,Rectangle
44.74,61.6,92.46,170.66,Hourglass
44.8,66.89,92.71,160.67,Hourglass
43.41,66.2,90.0,166.8,Hourglass
38.52,72.44,92.74,163.07,Pear
41.85,65.92,96.79,168.88,Hourglass
42.29,63.38,95.36,160.8,Hourglass
42.94,76.34,85.81,164.69,Rectangle
46.1,63.65,98.64,168.81,Hourglass
45.24,69.67,93.56,172.66,Hourglass
40.0,80.02,77.71,168.16,Rectangle
41.67,83.59,84.8,161.93,Rectangle
41.95,63.95,91.81,164.17,Hourglass
45.14,74.71,85.5,166.47,Inverted Triangle
37.49,71.09,92.2,161.99,Pear
38.03,68.88,98.26,171.09,Pear
43.33,63.41,95.91,166.16,Hourglass
36.28,71.0,94.95,163.37,Pear
39.56,60.54,91.84,161.74,Hourglass
43.75,71.99,85.02,167.69,Inverted Triangle
34.48,73.77,97.39,159.72,Pear
46.13,79.5,89.36,167.07,Inverted Triangle
45.85,65.42,92.9,168.44,Hourglass
45.18,71.09,88.38,159.02,Inverted Triangle
46.34,76.18,85.69,172.86,Inverted Triangle
48.92,74.93,92.54,159.96,Inverted Triangle
41.93,78.73,78.4,166.55,Rectangle
43.02,63.51,97.02,159.04,Hourglass
44.66,76.45,85.65,163.88,Rectangle
47.08,61.04,94.19,162.74,Hourglass
45.03,65.42,93.57,165.43,Hourglass
46.82,63.55,92.72,162.3,Hourglass
37.86,69.69,92.94,163.16,Pear
40.8,67.41,99.79,164.9,Pear
45.22,66.81,93.31,163.66,Hourglass
42.93,68.37,91.66,161.42,Hourglass
43.67,74.21,89.38,176.38,Inverted Triangle
42.71,66.83,87.2,156.7,Hourglass
44.87,74.57,88.03,164.34,Inverted Triangle
39.99,65.24,98.1,164.57,Pear
40.78,66.6,97.64,165.66,Pear
43.55,78.41,89.06,163.51,Inverted Triangle
46.04,78.46,88.36,166.95,Inverted Triangle
44.44,78.45,80.91,167.07,Rectangle
43.65,64.91,94.98,167.52,Hourglass
35.72,65.04,90.89,160.74,Pear
43.24,75.06,85.17,163.54,Rectangle
39.98,68.48,98.97,164.39,Pear
43.83,65.63,91.21,162.2,Hourglass
38.88,75.71,91.5,164.65,Pear
46.89,80.98,87.22,169.0,Inverted Triangle
36.53,69.49,95.5,168.05,Pear
35.82,72.01,95.16,165.45,Pear
36.62,71.37,93.34,170.08,Pear
49.0,64.5,87.08,166.61,Hourglass
45.19,81.93,82.01,162.01,Rectangle
41.65,78.3,80.13,164.73,Rectangle
39.04,70.52,95.93,167.83,Pear
38.11,69.16,97.4,170.09,Pear
38.24,70.81,92.28,160.54,Pear
38.55,72.62,93.43,170.8,Pear
43.83,81.21,78.55,166.08,Rectangle
34.96,70.03,95.27,169.64,Pear
49.88,64.96,87.54,168.19,Hourglass
38.09,79.89,78.7,171.98,Rectangle
43.67,83.17,82.54,166.97,Rectangle
43.47,74.04,83.95,161.75,Inverted Triangle
43.46,82.51,82.54,166.12,Rectangle
43.44,67.9,97.14,162.16,Hourglass
38.26,71.12,92.55,163.92,Pear
46.31,75.64,85.3,173.77,Inverted Triangle
40.42,65.88,93.11,161.71,Hourglass
36.94,81.45,98.3,159.44,Pear
46.94,79.15,82.61,174.97,Rectangle
44.81,69.37,88.66,165.35,Inverted Triangle
48.3,70.67,88.4,169.55,Inverted Triangle
36.57,70.47,96.89,162.15,Pear
37.93,65.39,94.93,161.31,Pear
46.51,64.36,87.72,163.33,Hourglass
46.28,74.82,91.35,171.27,Inverted Triangle
37.04,72.7,97.56,162.8,Pear
46.51,72.82,89.27,167.32,Inverted Triangle
41.0,77.07,88.08,165.01,Inverted Triangle
38.62,72.02,98.62,168.83,Pear
43.56,80.38,90.21,165.61,Inverted Triangle
44.25,67.95,83.79,169.58,Hourglass
45.28,77.0,85.28,163.8,Rectangle
41.48,68.43,92.87,162.28,Hourglass
41.19,71.68,95.54,160.75,Pear
45.55,67.18,96.97,160.16,Hourglass
46.31,75.66,83.54,172.65,Rectangle
43.67,85.22,82.44,165.31,Rectangle
45.3,72.6,90.54,159.73,Inverted Triangle
37.33,67.0,98.62,167.57,Pear
47.0,72.65,85.98,162.35,Inverted Triangle
36.27,74.05,99.88,166.24,Pear
43.83,69.71,95.53,177.34,Inverted Triangle
43.42,74.96,85.35,174.12,Rectangle
39.18,80.17,77.34,167.56,Rectangle
44.59,74.29,90.24,168.07,Inverted Triangle
43.15,76.39,90.14,169.38,Inverted Triangle
40.97,78.18,94.23,159.36,Pear
38.77,77.57,81.27,160.93,Rectangle
35.19,77.12,96.22,165.9,Pear
41.13,69.45,90.63,162.66,Hourglass
48.93,75.96,91.38,160.14,Inverted Triangle
36.86,67.28,95.21,165.14,Pear
36.7,67.56,94.98,177.38,Pear
48.99,75.49,85.09,169.9,Inverted Triangle
41.77,77.9,80.11,163.17,Rectangle
48.78,73.81,86.58,163.43,Inverted Triangle
43.09,69.32,92.54,152.98,Hourglass
43.33,76.89,81.03,166.63,Rectangle
45.33,67.01,94.3,157.59,Hourglass
46.84,74.12,91.16,170.44,Inverted Triangle
39.54,70.76,88.93,163.11,Hourglass
45.44,72.32,91.03,166.22,Inverted Triangle
43.96,82.76,75.6,162.71,Rectangle
41.1,68.48,94.65,166.38,Pear
